"Referencia","Descricao","Valor","DataCriacao"
"010.1006",CORON® PONTE 6 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1007",CORON® PONTE 7 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1008",CORON® PONTE 8 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1009",CORON® PONTE 9 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1010",CORON® PONTE 10 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1011",CORON® PONTE 11 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1012",CORON® PONTE 12 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1013",CORON® PONTE 13 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1014",CORON® PONTE 14 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1015",CORON® PONTE 15 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1016",CORON® PONTE 16 UNIDADES,102.00,2025-08-26 02:26:12.140
"010.1051","Prót. fixa múlt. aparaf., 2 unid., CoCr",319.00,2025-08-26 02:26:12.140
"010.1052","Prót. fixa múlt. aparaf., 3 unid., CoCr",319.00,2025-08-26 02:26:12.140
"010.1053","Prót. fixa múlt. aparaf., 4 unid., CoCr",319.00,2025-08-26 02:26:12.140
"010.1054","Prót. fixa múlt. aparaf., 5 unid., CoCr",319.00,2025-08-26 02:26:12.140
"010.1055","Prót. fixa múlt. aparaf., 6 unid., CoCr",319.00,2025-08-26 02:26:12.140
"010.1056","Prót. fixa múlt. aparaf., 7 unid., CoCr",319.00,2025-08-26 02:26:12.140
"010.1057","Prót. fixa múlt. aparaf., 8 unid., CoCr",319.00,2025-08-26 02:26:12.140
"010.1058","Prót. fixa múlt. aparaf., 9 unid., CoCr",319.00,2025-08-26 02:26:12.140
"010.1059","Prót. fixa múlt. aparaf., 10 unid.,CoCr",319.00,2025-08-26 02:26:12.140
"010.1060","Prót. fixa múlt. aparaf., 11 unid.,CoCr",319.00,2025-08-26 02:26:12.140
"010.1061","Prót. fixa múlt. aparaf., 12 unid.,CoCr",319.00,2025-08-26 02:26:12.140
"010.1062","Prót. fixa múlt. aparaf., 13 unid.,CoCr",319.00,2025-08-26 02:26:12.140
"010.1063","Prót. fixa múlt. aparaf., 14 unid.,CoCr",319.00,2025-08-26 02:26:12.140
"010.1064","Prót. fixa múlt. aparaf., 15 unid.,CoCr",319.00,2025-08-26 02:26:12.140
"010.1065","Prót. fixa múlt. aparaf., 16 unid.,CoCr",319.00,2025-08-26 02:26:12.140
"010.1066","CARES® BARRA 2 IMPLANTES, CORON®",1079.00,2025-08-26 02:26:12.446
"010.1067","CARES® BARRA 3 IMPLANTES, CORON®",1079.00,2025-08-26 02:26:12.446
"010.1068","CARES® BARRA 4 IMPLANTES, CORON®",1810.00,2025-08-26 02:26:12.446
"010.1069","CARES® BARRA 5 IMPLANTES, CORON®",1810.00,2025-08-26 02:26:12.446
"010.1070","CARES® BARRA 6 IMPLANTES, CORON®",2542.00,2025-08-26 02:26:12.446
"010.1071","CARES® BARRA 7 IMPLANTES, CORON®",2542.00,2025-08-26 02:26:12.446
"010.1072","CARES® BARRA 8 IMPLANTES, CORON®",2542.00,2025-08-26 02:26:12.446
"010.1073","CARES® BARRA 9 IMPLANTES, CORON®",1034.00,2025-08-26 02:26:12.446
"010.1074","CARES® BARRA 10 IMPLANTES, CORON®",1004.00,2025-08-26 02:26:12.446
"010.1075",CARES® Parafuso para RN WN liga titânio,63.00,2025-08-26 02:26:12.140
"010.1076","Prót. fixa múlt. aparaf., 2 unidades, Ti",319.00,2025-08-26 02:26:12.140
"010.1077","Prót. fixa múlt. aparaf., 3 unidades, Ti",319.00,2025-08-26 02:26:12.140
"010.1078","Prót. fixa múlt. aparaf., 4 unidades, Ti",319.00,2025-08-26 02:26:12.140
"010.1079","Prót. fixa múlt. aparaf., 5 unidades, Ti",319.00,2025-08-26 02:26:12.140
"010.1080","Prót. fixa múlt. aparaf., 6 unidades, Ti",319.00,2025-08-26 02:26:12.143
"010.1081","Prót. fixa múlt. aparaf., 7 unidades, Ti",319.00,2025-08-26 02:26:12.143
"010.1082","Prót. fixa múlt. aparaf., 8 unidades, Ti",319.00,2025-08-26 02:26:12.143
"010.1083","Prót. fixa múlt. aparaf., 9 unidades, Ti",319.00,2025-08-26 02:26:12.143
"010.1084","Prót. fixa múlt. aparaf., 10 unidades,Ti",319.00,2025-08-26 02:26:12.143
"010.1085","Prót. fixa múlt. aparaf., 11 unidades,Ti",319.00,2025-08-26 02:26:12.143
"010.1086","Prót. fixa múlt. aparaf., 12 unidades,Ti",319.00,2025-08-26 02:26:12.143
"010.1087","Prót. fixa múlt. aparaf., 13 unidades,Ti",319.00,2025-08-26 02:26:12.143
"010.1088","Prót. fixa múlt. aparaf., 14 unidades,Ti",319.00,2025-08-26 02:26:12.143
"010.1089","Prót. fixa múlt. aparaf., 15 unidades,Ti",319.00,2025-08-26 02:26:12.143
"010.1090","Prót. fixa múlt. aparaf., 16 unidades,Ti",319.00,2025-08-26 02:26:12.143
"010.1091","Prótese protocolo, 2 implantes, Ti",1079.00,2025-08-26 02:26:12.446
"010.1092","Prótese protocolo, 3 implantes, Ti",1079.00,2025-08-26 02:26:12.446
"010.1093","Prótese protocolo, 4 implantes, Ti",1810.00,2025-08-26 02:26:12.446
"010.1094","Prótese protocolo, 5 implantes, Ti",1810.00,2025-08-26 02:26:12.446
"010.1095","Prótese protocolo, 6 implantes, Ti",2542.00,2025-08-26 02:26:12.446
"010.1096","Prótese protocolo, 7 implantes, Ti",2542.00,2025-08-26 02:26:12.446
"010.1097","Prótese protocolo, 8 implantes, Ti",2542.00,2025-08-26 02:26:12.446
"010.1098","Prótese protocolo, 9 implantes, Ti",864.00,2025-08-26 02:26:12.446
"010.1099","Prótese protocolo, 10 implantes, Ti",834.00,2025-08-26 02:26:12.446
"010.1100","NC/RC PARAFUSO SRBB, TAN",60.00,2025-08-26 02:26:12.143
"010.1103",NC/RC Paraf Oc TAN nív pil SRBB 023.4763,26.00,2025-08-26 02:26:12.143
"010.1104","CARES® BARRA BÁSICA, CORON®, 2 IMPLANTES",1079.00,2025-08-26 02:26:12.446
"010.1105","CARES® BARRA BÁSICA, CORON®, 3 IMPLANTES",1079.00,2025-08-26 02:26:12.446
"010.1106","CARES® BARRA BÁSICA, CORON®, 4 IMPLANTES",1810.00,2025-08-26 02:26:12.446
"010.1107","CARES® BARRA BÁSICA, CORON®, 5 IMPLANTES",1810.00,2025-08-26 02:26:12.446
"010.1108","CARES® BARRA BÁSICA, CORON®, 6 IMPLANTES",2542.00,2025-08-26 02:26:12.446
"010.1109","CARES® BARRA BÁSICA, CORON®, 7 IMPLANTES",2542.00,2025-08-26 02:26:12.446
"010.1110","CARES® BARRA BÁSICA, CORON®, 8 IMPLANTES",2542.00,2025-08-26 02:26:12.446
"010.1111","CARES® BARRA BÁSICA, CORON®, 9 IMPLANTES",1004.00,2025-08-26 02:26:12.446
"010.1112","CARES BARRA BÁSICA, CORON, 10 IMPLANTES",1004.00,2025-08-26 02:26:12.446
"010.1113","Híbrida básica, 2 implantes, Ti",1079.00,2025-08-26 02:26:12.446
"010.1114","Híbrida básica, 3 implantes, Ti",1079.00,2025-08-26 02:26:12.446
"010.1115","Híbrida básica, 4 implantes, Ti",1810.00,2025-08-26 02:26:12.446
"010.1116","Híbrida básica, 5 implantes, Ti",1810.00,2025-08-26 02:26:12.446
"010.1117","Híbrida básica, 6 implantes, Ti",2542.00,2025-08-26 02:26:12.446
"010.1118","Híbrida básica, 7 implantes, Ti",2542.00,2025-08-26 02:26:12.446
"010.1119","Híbrida básica, 8 implantes, Ti",2542.00,2025-08-26 02:26:12.446
"010.1120","Híbrida básica, 9 implantes, Ti",864.00,2025-08-26 02:26:12.446
"010.1121","Híbrida básica, 10 implantes, Ti",834.00,2025-08-26 02:26:12.446
"010.1122","CARES ADVANCED FIXED BAR, CORON, 2 IMPL.",1079.00,2025-08-26 02:26:12.443
"010.1123","CARES ADVANCED FIXED BAR, CORON, 3 IMPL.",1079.00,2025-08-26 02:26:12.443
"010.1124","CARES ADVANCED FIXED BAR, CORON, 4 IMPL.",1810.00,2025-08-26 02:26:12.443
"010.1125","CARES ADVANCED FIXED BAR, CORON, 5 IMPL.",1810.00,2025-08-26 02:26:12.443
"010.1126","CARES ADVANCED FIXED BAR, CORON, 6 IMPL.",2542.00,2025-08-26 02:26:12.443
"010.1127","CARES ADVANCED FIXED BAR, CORON, 7 IMPL.",2542.00,2025-08-26 02:26:12.443
"010.1128","CARES ADVANCED FIXED BAR, CORON, 8 IMPL.",2542.00,2025-08-26 02:26:12.443
"010.1129","CARES ADVANCED FIXED BAR, CORON, 9 IMPL.",1034.00,2025-08-26 02:26:12.443
"010.1130","CARES ADVANCED FIXED BAR, CORON 10 IMPL.",1004.00,2025-08-26 02:26:12.443
"010.1131","Híbrida avançada, 2 implantes, Ti",1079.00,2025-08-26 02:26:12.443
"010.1132","Híbrida avançada, 3 implantes, Ti",1079.00,2025-08-26 02:26:12.443
"010.1133","Híbrida avançada, 4 implantes, Ti",1810.00,2025-08-26 02:26:12.443
"010.1134","Híbrida avançada, 5 implantes, Ti",1810.00,2025-08-26 02:26:12.443
"010.1135","Híbrida avançada, 6 implantes, Ti",2542.00,2025-08-26 02:26:12.443
"010.1136","Híbrida avançada, 7 implantes, Ti",2542.00,2025-08-26 02:26:12.443
"010.1137","Híbrida avançada, 8 implantes, Ti",2542.00,2025-08-26 02:26:12.443
"010.1138","Híbrida avançada, 9 implantes, Ti",864.00,2025-08-26 02:26:12.443
"010.1139","Híbrida avançada, 10 implantes, Ti",834.00,2025-08-26 02:26:12.443
"010.1140","CARES® MILLED BAR, CORON®, 2 IMPL.",1079.00,2025-08-26 02:26:12.443
"010.1141","CARES® MILLED BAR, CORON®, 3 IMPL.",1079.00,2025-08-26 02:26:12.443
"010.1142","BARRA FRESADA CARES®, CORON®, 4 IMPL.",1810.00,2025-08-26 02:26:12.443
"010.1143","BARRA FRESADA CARES®, CORON®, 5 IMPL.",1810.00,2025-08-26 02:26:12.443
"010.1144","BARRA FRESADA CARES®, CORON®, 6 IMPL.",2542.00,2025-08-26 02:26:12.443
"010.1145","CARES® MILLED BAR, CORON®, 7 IMPL.",2542.00,2025-08-26 02:26:12.443
"010.1146","CARES® MILLED BAR, CORON®, 8 IMPL.",2542.00,2025-08-26 02:26:12.443
"010.1147","CARES® MILLED BAR, CORON®, 9 IMPL.",1034.00,2025-08-26 02:26:12.443
"010.1148","CARES® MILLED BAR, CORON®, 10 IMPL.",1004.00,2025-08-26 02:26:12.443
"010.1149","Novaloc/LOCATOR prót. prot., 2 impl.,Ti",1079.00,2025-08-26 02:26:12.443
"010.1150","Novaloc/LOCATOR prót. prot., 3 impl.,Ti",1079.00,2025-08-26 02:26:12.443
"010.1151","Novaloc/LOCATOR prót. prot., 4 impl.,Ti",1810.00,2025-08-26 02:26:12.443
"010.1152","Novaloc/LOCATOR prót. prot., 5 impl.,Ti",1810.00,2025-08-26 02:26:12.443
"010.1153","Novaloc/LOCATOR prót. prot., 6 impl.,Ti",2542.00,2025-08-26 02:26:12.443
"010.1154","Novaloc/LOCATOR prót. prot., 7 impl.,Ti",2542.00,2025-08-26 02:26:12.443
"010.1155","Novaloc/LOCATOR prót. prot., 8 impl.,Ti",2542.00,2025-08-26 02:26:12.446
"010.1156","Novaloc/LOCATOR prót. prot., 9 impl.,Ti",864.00,2025-08-26 02:26:12.446
"010.1157","Novaloc/LOCATOR prót. prot., 10 impl.,Ti",834.00,2025-08-26 02:26:12.446
"010.2001",TICON® UNITÁRIO,102.00,2025-08-26 02:26:11.653
"010.2002",TICON® PONTE 2 UNIDADES,204.00,2025-08-26 02:26:11.653
"010.2003",TICON® PONTE 3 UNIDADES,306.00,2025-08-26 02:26:11.653
"010.2004",TICON® PONTE 4 UNIDADES,408.00,2025-08-26 02:26:11.653
"010.2005",TICON® PONTE 5 UNIDADES,510.00,2025-08-26 02:26:11.653
"010.2006",TICON® PONTE 6 UNIDADES,612.00,2025-08-26 02:26:11.653
"010.2007",TICON® PONTE 7 UNIDADES,714.00,2025-08-26 02:26:11.653
"010.2008",TICON® PONTE 8 UNIDADES,816.00,2025-08-26 02:26:11.653
"010.2009",TICON® PONTE 9 UNIDADES,918.00,2025-08-26 02:26:11.653
"010.2010",TICON® PONTE 10 UNIDADES,1020.00,2025-08-26 02:26:11.653
"010.2011",TICON® PONTE 11 UNIDADES,1122.00,2025-08-26 02:26:11.653
"010.2012",TICON® PONTE 12 UNIDADES,1224.00,2025-08-26 02:26:11.653
"010.2013",TICON® PONTE 13 UNIDADES,1326.00,2025-08-26 02:26:11.653
"010.2014",TICON® PONTE 14 UNIDADES,1428.00,2025-08-26 02:26:11.653
"010.2015",TICON® PONTE 15 UNIDADES,1530.00,2025-08-26 02:26:11.653
"010.2016",TICON® PONTE 16 UNIDADES,1632.00,2025-08-26 02:26:11.653
"010.2021",Titanium single unit,129.00,2025-08-26 02:26:12.143
"010.2022",Titanium 2-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2023",Titanium 3-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2024",Titanium 4-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2025",Titanium 5-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2026",Titanium 6-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2027",Titanium 7-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2028",Titanium 8-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2029",Titanium 9-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2030",Titanium 10-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2031",Titanium 11-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2032",Titanium 12-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2033",Titanium 13-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2034",Titanium 14-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2035",Titanium 15-unit restoration,129.00,2025-08-26 02:26:12.143
"010.2036",Titanium 16-unit restoration,129.00,2025-08-26 02:26:12.143
"010.4017",Full arch - 3D Printed Model,101.00,2025-08-26 02:26:12.143
"010.4018",Quadrant - 3D Printed Model,66.00,2025-08-26 02:26:12.143
"010.4019",Die - 3D Printed Model,10.00,2025-08-26 02:26:12.143
"010.5000","IPS E.MAX CAD RESTAURACAO, COPING",259.00,2025-08-26 02:26:12.143
"010.5001","IPS E.MAX CAD RESTAURACAO, COROA LT",259.00,2025-08-26 02:26:12.143
"010.5002","IPS E.MAX CAD RESTAURACAO, COROA HT",259.00,2025-08-26 02:26:12.143
"010.5003","IPS E.MAX CAD RESTAURACAO, COROA PARC.LT",259.00,2025-08-26 02:26:12.143
"010.5004","IPS E.MAX CAD RESTAURACAO, COROA PARC.HT",259.00,2025-08-26 02:26:12.143
"010.5005","IPS E.MAX CAD RESTAURACAO, REVESTIM. LT",259.00,2025-08-26 02:26:12.143
"010.5006","IPS E.MAX CAD RESTAURACAO, REVESTIM. HT",259.00,2025-08-26 02:26:12.143
"010.5007","IPS E.MAX CAD RESTAURACAO, ONLAY HT",259.00,2025-08-26 02:26:12.143
"010.5008","IPS E.MAX CAD RESTAURACAO, INLAY HT",259.00,2025-08-26 02:26:12.143
"010.5491","NT/RT/WT Parafuso basal SA, TAN",69.00,2025-08-26 02:26:12.513
"010.5495","NT/RT/WT Parafuso basal, TAN",69.00,2025-08-26 02:26:12.513
"010.5496","Pilar pers. SA CoCr, NT, paraf. TAN",1500.00,2025-08-26 02:26:12.120
"010.5497","Pilar pers. SA CoCr, RT, paraf. TAN",1500.00,2025-08-26 02:26:12.120
"010.5498","Pilar pers. SA CoCr, WT, paraf. TAN",1500.00,2025-08-26 02:26:12.120
"010.6000","Pilar personalizado TAN, NC, paraf. TAN",410.00,2025-08-26 02:26:12.276
"010.6001","Pilar personalizado TAN, RC, paraf. TAN",410.00,2025-08-26 02:26:12.276
"010.6002","Pilar personalizado TAN, RN, paraf. TAN",410.00,2025-08-26 02:26:12.276
"010.6003","Pilar personalizado TAN, WN, paraf. TAN",410.00,2025-08-26 02:26:12.276
"010.6022","Variobase Coping, f. SR Abut. Ø3.5mm",205.00,2025-08-26 02:26:11.830
"010.6023","Variobase Coping, f. SRAbut.Ø4.6mm",205.00,2025-08-26 02:26:11.830
"010.6024","NC VARIOBASE, D4.5MM, H3.5MM, TAN",160.00,2025-08-26 02:26:11.663
"010.6025","RC VARIOBASE, D4.5MM, H3.5MM, TAN",160.00,2025-08-26 02:26:11.663
"010.6027","RN VARIOBASE, D5.5MM, H3.5MM, TAN",160.00,2025-08-26 02:26:11.663
"010.6028","WN VARIOBASE, D7MM, H4.8MM, TAN",160.00,2025-08-26 02:26:11.663
"010.6029",SC PILAR VARIOBASE CARES AG 1MM,180.00,2025-08-26 02:26:12.276
"010.6030",SC PILAR VARIOBASE CARES AG 2MM,180.00,2025-08-26 02:26:12.276
"010.6031",SC PILAR VARIOBASE CARES AG 3MM,180.00,2025-08-26 02:26:12.276
"010.6032","Pilar personalizado TAN SC, paraf. TAN",410.00,2025-08-26 02:26:12.276
"010.6035","RN VARIOBASE, PARA COROA, Ø5.05, H6MM",180.00,2025-08-26 02:26:12.276
"010.6036","WN VARIOBASE, PARA COROA, Ø7, H6.5MM",180.00,2025-08-26 02:26:12.276
"010.6037","RC VARIOBASE, PARA COROA, Ø4.5, H5.5MM",180.00,2025-08-26 02:26:12.276
"010.6038","NC VARIOBASE, PARA COROA, Ø3.8, H5.5MM",180.00,2025-08-26 02:26:12.276
"010.6039","CI RD STRAUMANN PUREBASE 3,5 MM, TAN",268.00,2025-08-26 02:26:11.830
"010.6040","CI RD STRAUMANN PUREBASE 5,5 MM, TAN",268.00,2025-08-26 02:26:11.830
"010.6042","NC VB PARA COROA AS, Ø4.1 AH3.5 GH1 TAN",220.00,2025-08-26 02:26:12.276
"010.6043","NC VB PARA COROA AS, Ø4.1 AH3.5 GH2 TAN",165.00,2025-08-26 02:26:11.790
"010.6044","NC VB PARA COROA AS, Ø4.1 AH3.5 GH3 TAN",165.00,2025-08-26 02:26:11.790
"010.6045","RC VB PARA COROA AS, Ø4.7 AH3.5 GH1 TAN",220.00,2025-08-26 02:26:12.276
"010.6046","RC VB PARA COROA AS, Ø4.7 AH3.5 GH2 TAN",165.00,2025-08-26 02:26:11.790
"010.6047","RC VB PARA COROA AS, Ø4.7 AH3.5 GH3 TAN",165.00,2025-08-26 02:26:11.790
"010.6048","NNC VB PARA COROA AS, Ø4.2 AH3.8 TAN",220.00,2025-08-26 02:26:12.276
"010.6049","RN VARIOBASE PARA COROA AS, Ø5.1 AH4 TAN",220.00,2025-08-26 02:26:12.276
"010.6050","WN VARIOBASE PARA COROA AS, Ø7 AH4.5 TAN",220.00,2025-08-26 02:26:12.276
"010.6051","NC VB PARA COROA AS, Ø4.1 AH5.5 GH1 TAN",220.00,2025-08-26 02:26:12.276
"010.6052","NC VB PARA COROA AS, Ø4.1 AH5.5 GH2 TAN",165.00,2025-08-26 02:26:11.790
"010.6053","NC VB PARA COROA AS, Ø4.1 AH5.5 GH3 TAN",165.00,2025-08-26 02:26:11.790
"010.6054","RC VB PARA COROA AS, Ø4.7 AH5.5 GH1 TAN",220.00,2025-08-26 02:26:12.276
"010.6055","RC VB PARA COROA AS, Ø4.7 AH5.5 GH2 TAN",165.00,2025-08-26 02:26:11.790
"010.6056","RC VB PARA COROA AS, Ø4.7 AH5.5 GH3 TAN",165.00,2025-08-26 02:26:11.790
"010.6057","NNC VB PARA COROA AS, Ø4.2 AH5.8 TAN",220.00,2025-08-26 02:26:12.276
"010.6058","RN VARIOBASE PARA COROA AS, Ø5.1 AH6 TAN",220.00,2025-08-26 02:26:12.276
"010.6059","WN VARIOBASE PARA COROA AS, Ø7 AH6.5 TAN",220.00,2025-08-26 02:26:12.276
"010.6065","Pilar personalizado CoCr, NC, paraf. TAN",410.00,2025-08-26 02:26:12.276
"010.6066","Pilar personalizado CoCr, RC, paraf. TAN",410.00,2025-08-26 02:26:12.276
"010.6067","Pilar personalizado CoCr, RN, paraf. TAN",410.00,2025-08-26 02:26:12.276
"010.6068","Pilar personalizado CoCr, WN, paraf. TAN",410.00,2025-08-26 02:26:12.276
"010.6069","NNC Screw AS, L 7.5mm, TAN",60.00,2025-08-26 02:26:12.143
"010.6070","NC/RC Parafuso SA, L 7.9mm, Ti",69.00,2025-08-26 02:26:12.276
"010.6071","RN/WN Parafuso SA, L 6.7mm, Ti",69.00,2025-08-26 02:26:12.276
"010.6073","Paraf. ocl. SA, pilar aparaf., L 4.1, Ti",85.00,2025-08-26 02:26:12.276
"010.6074","NC VB PARA COROA, Ø3.8 AH3.5 GH2 TAN",180.00,2025-08-26 02:26:12.276
"010.6075","RC VB PARA COROA, Ø4.5 AH5.5 GH2 TAN",180.00,2025-08-26 02:26:12.276
"010.6076","NC VB PARA COROA, Ø3.8 AH3.5 GH3 TAN",180.00,2025-08-26 02:26:12.276
"010.6077","RC VB PARA COROA, Ø4.5 AH5.5 GH3 TAN",180.00,2025-08-26 02:26:12.276
"010.6078","RC VB PARA COROA, Ø4.5 AH3.5 GH2 TAN",180.00,2025-08-26 02:26:12.276
"010.6079","RC VB PARA COROA, Ø4.5 AH3.5 GH3 TAN",180.00,2025-08-26 02:26:12.276
"010.6080","NC VB PARA COROA, Ø3.8 AH5.5 GH2 TAN",180.00,2025-08-26 02:26:12.276
"010.6081","NC VB PARA COROA, Ø3.8 AH5.5 GH3 TAN",180.00,2025-08-26 02:26:12.276
"010.6083",RN VARIOBASE® P/ PONTE/BARRA CILINDRICO,180.00,2025-08-26 02:26:11.586
"010.6084",WN VARIOBASE® P/PONTE/BARRA CILINDRICO,180.00,2025-08-26 02:26:11.586
"010.6085",NC VARIOBASE® P/ PONTE/BARRA CILINDRICO,180.00,2025-08-26 02:26:11.586
"010.6086",RC VARIOBASE® P/ PONTE/BARRA CILINDRICO,180.00,2025-08-26 02:26:11.590
"010.6087",NC VARIOB.P/ BARRA CYLIND.COPING SRA,180.00,2025-08-26 02:26:11.590
"010.6088",NC/RC VB PONTE/BARRA CYLINDR.COPING SRA,180.00,2025-08-26 02:26:11.590
"010.6089","RB/WB Var cor paraf,D3.8mm,GH1.5mm,AH5.5",215.00,2025-08-26 02:26:12.276
"010.6090","RB/WB Var cor paraf,D3.8mm,GH2.5mm,AH5.5",215.00,2025-08-26 02:26:12.280
"010.6091","RB/WB Var cor paraf,D4.5mm,GH1.5mm,AH5.5",215.00,2025-08-26 02:26:12.280
"010.6092","RB/WB Var cor paraf,D4.5mm,GH2.5mm,AH5.5",215.00,2025-08-26 02:26:12.280
"010.6093","WB Var coroa paraf,D5.5mm,GH0.75mm,AH5.5",215.00,2025-08-26 02:26:12.280
"010.6094","WB Var coroa, paraf,D5.5mm,GH1.5mm,AH5.5",215.00,2025-08-26 02:26:12.280
"010.6095","RB/WB Var cor paraf,D3.8mm,GH1.5mm,AH5.5",226.00,2025-08-26 02:26:12.120
"010.6096","RB/WB Var cor paraf,D3.8mm,GH2.5mm,AH5.5",226.00,2025-08-26 02:26:12.120
"010.6097","RB/WB Var cor paraf,D4.5mm,GH1.5mm,AH5.5",226.00,2025-08-26 02:26:12.120
"010.6098","RB/WB Var cor paraf,D4.5mm,GH2.5mm,AH5.5",226.00,2025-08-26 02:26:12.120
"010.6099","WB Var cor paraf,D5.5mm,GH0.75mm,AH5.5mm",226.00,2025-08-26 02:26:12.120
"010.6100","WB Var cor paraf,D5.5mm,GH1.5mm,AH5.5mm",226.00,2025-08-26 02:26:12.120
"010.6101","NC Cem. Abutment, Ø 5.0, GH 1, AH 4",275.00,2025-08-26 02:26:12.280
"010.6102","NC Cem. Abutment, Ø 5.0, GH 2, AH 4",275.00,2025-08-26 02:26:12.280
"010.6103","NC Cem. Abutment, Ø 5.0, GH 3, AH 4",275.00,2025-08-26 02:26:12.280
"010.6104","NC Cem. Abutment, Ø 5.0, GH 1, AH 5.5",275.00,2025-08-26 02:26:12.280
"010.6105","NC Cem. Abutment, Ø 5.0, GH 2, AH 5.5",275.00,2025-08-26 02:26:12.280
"010.6106","NC Cem. Abutment, Ø 5.0, GH 3, AH 5.5",275.00,2025-08-26 02:26:12.280
"010.6107","RC Cem. Abutment, Ø 5.0, GH 1, AH 4",275.00,2025-08-26 02:26:12.280
"010.6108","RC Cem. Abutment, Ø 5.0, GH 2, AH 4",275.00,2025-08-26 02:26:12.280
"010.6109","RC Cem. Abutment, Ø 5.0, GH3, AH 4",275.00,2025-08-26 02:26:12.280
"010.6110","RC Cem. Abutment, Ø 5.0, GH 1, AH 5.5",275.00,2025-08-26 02:26:12.280
"010.6111","RC Cem. Abutment, Ø 5.0, GH 2, AH 5.5",275.00,2025-08-26 02:26:12.280
"010.6112","RC Cem. Abutment, Ø 5.0, GH 3, AH 5.5",275.00,2025-08-26 02:26:12.280
"010.6113","RC Cem. Abutment, Ø 6.5, GH 1, AH 4",275.00,2025-08-26 02:26:12.280
"010.6114","RC Cem. Abutment, Ø 6.5, GH 2, AH 4",275.00,2025-08-26 02:26:12.280
"010.6115","RC Cem. Abutment, Ø 6.5, GH 3, AH 4",275.00,2025-08-26 02:26:12.280
"010.6116","RC Cem. Abutment, Ø 6.5, GH 1, AH 5.5",275.00,2025-08-26 02:26:12.280
